SiteId,DateCreated,startDate,endDate,Partner,year,AlerteID,Menage_deplaces,Individus_deplaces,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,MSAcount,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude
,27.05.2019,20.05.2019,22.05.2019,ACTED,2019,ACT_PEN_20190424,350,1750,4.3,27.4,0,36.8,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Banga,Ouaka,Kouango,Azengue-Mindou,5.084103,20.06407
,27.05.2019,06.05.2019,09.05.2019,ACTED,2019,ACT_BOU_20190327,3200,16000,4.4,19.3,0,0,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Boulangba,Basse-Kotto,Mobaye,Mbeima,4.468794,21.134697
,07.05.2019,18.04.2019,20.04.2019,ACF,2019,ACF_KEL_20190322,0,0,4.3,62,0,10,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Kella Doukou,Nana-Mambere,Bouar,Herman-Brousse,6.137952,15.53115
,07.05.2019,14.04.2019,16.04.2019,SI,2019,SOL_GRI_20190409,698,3649,,,,,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Sindi 1,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.015678,19.187344
,24.04.2019,27.12.2018,02.01.2019,ACTED,2019,ACT_BGS_20181206,111,800,4.2,3.7,21.3,86.1,,,,,,Non,Non,,Non,Non,Non,Non,Non,Bangassou,Mbomou,Bangassou,Bangassou,4.7401,22.822201
,22.04.2019,11.04.2019,16.04.2019,ACF,2019,ACF_MAI_20190325,1496,7262,4.3,3.2,74.8,0,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Maitikoulou,Ouham,Markounda,Nana Markounda,7.971194,17.68598
,18.04.2019,08.04.2019,13.04.2019,ACF,2019,ACF_BEZ_20190326,1383,8298,4.1,7.8,93.3,10,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Bezere,Ouham Pende,Ngaoundaye,Kodi,7.103745,15.524087
,01.04.2019,25.03.2019,31.03.2019,ACF,2019,ACF_ZAO_20190315,0,0,4.1,8,0.9,0,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Zaoro soungou,Mambere-Kadei,Gadzi,Topia,5.0429,16.220699
,21.03.2019,06.03.2019,07.03.2019,SI,2019,SOL_KPO_20190304,538,1418,4.4,7.7,0,6.6,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Kpokpo 1,Nana-Gribizi,Kaga-Bandoro,Botto,7.033634,19.138823
,21.03.2019,11.03.2019,14.03.2019,ACTED,2019,ACT_POM_20190313,3042,15206,4.3,40.8,18.6,45,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Pombolo,Mbomou,Gambo,Gambo,4.3799,22.2994
,21.03.2019,12.03.2019,14.03.2019,ACTED,2019,ACT_ZEM_20190308,3328,16643,4,33.3,2.4,35.7,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Zemio,Haut-Mbomou,Zemio,Zemio,5.0243,25.1294
,21.03.2019,05.03.2019,08.03.2019,SI,2019,SOL_KAK_20190304,1657,7766,4.5,19.6,0,2,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Ouin,Ouham,Batangafo,Bede,7.484153,18.152889
,21.03.2019,13.03.2019,14.03.2019,ACTED,2019,ACT_POU_20190221,1155,4390,3.9,44.3,0,0,,,,,,Oui,Oui,,Oui,Oui,Oui,Oui,Non,Mbo-Pouloubou,Basse-Kotto,Mingala,Kotto,5.1262,21.639299
