"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Individus_bénéficiaires_WASH_total","Individus_bénéficiaires_NFI_total","interventioncount","NFI_Nattes_total","Kits_NFI_accueil","réhabilitation_de_forage_ou_source_d.eau","NFI_Moustiquaires_déplacés","NFI_Bâches","NFI_Couvertures_total","NFI_savon_déplacés","Kits_NFI_total","individus_bénéficiaires_WASH_accueil","NFI_Savons_total","NFI_Moustiquaires","NFI_Nattes_accueil","ménages_bénéficiaires_NFI_accueil","NFI_Moustiquaires_accueil","NFI_Baches_accueil","NFI_bidons","Ménages_bénéficiaires_NFI_total","individus_bénéficiaires_NFI_déplacés","NFI_bidons_déplacés","NFI_couvertures_accueil","NFI_couvertures_déplacés","individus_bénéficiaires_WASH_déplacés","individus_bénéficiaires_NFI_acceuil","KITS_NFI_déplacés","NFI_savon_acceuil","NFI_Baches_déplacés","ménages_bénéficiaires_NFI_déplacés","Sensibilisation_de_la_communauté_sur_les_bonnes_pratiques_d.hygiène.","NFI_bidons_accueil","NFI_nattes_déplacés","Redynamisation_du_comité_de_gestion_de_la_source_d.eau","NFI_Seau","NFI_Kit_cuisine_total","NFI_Vêtements_enfants_total","NFI_Vêtement_bébé","Abris","NFI_seau_déplacés","NFI_Vêtements_enfants_déplacés","NFI_Kit_cuisine_déplacés","Sensibilisation_de_la_communauté_lavage_de_main","Nombres_de_blocs_de_latrines","nombres_de_latrines_installées","Mise_en_place_d.un_comité_de_gestion_des_latrines","NFI_seau_accueil","Vivres_Plumpy_Sup","Vivres_Huile_2L","Kits_VIVRES","Vivres_CSB._12.5Kg","Vivres_Riz_25kg","NFI_Torche","NFI_torche_accueil","NFI_Vêtements_enfants_accueil","NFI_torche_déplacés","Type_d.intervention.WASH","Type_d.intervention.NFI_WASH","Type_d.intervention.NFI","Cause_d.annulation.NA","Cause_de_délais.NA","Cause_de_délais.Logistique_.pas_d.accés.","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","intervention_type"
"Feature","94832746","Bangui","ACF","13327","INTERVENTION","2014-06-05","2014-07-04","7933","7933","1e+09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WASH",NA,NA,"0","0","0","Point","4.39399444444444,18.5329055555556","18.5329055555556","4.39399444444444","2014-06","2014","Bas-Oubangui","Bangui","Bangui","Bangui","WASH"
"Feature","98821588","Berberati","ACF","13327","INTERVENTION","2014-04-21","2014-05-09","6638","6638","1e+09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WASH",NA,NA,"0","0","0","Point","4.26018055555556,15.7904861111111","15.7904861111111","4.26018055555556","2014-04","2014","Equateur","Mambéré-Kadéï","Berbérati","Basse-Batouri","WASH"
"Feature","115393556","Bondiba","ACF","13327","INTERVENTION","2015-01-30","2015-02-01","1695","1695","1e+09","244","294","1","188","122","244","564","388","1307","2328","510","56","294","322","28","244","388","388","188","56","188","388","1307","94","1764","94","94","1","56","188","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,"1","1","0","Point","5.535135,14.794725","14.794725","5.535135","2015-01","2015","Equateur","Nana-Mambéré","Baboua","Baboua","NFI/WASH"
"Feature","196757754","Moyenne Sido","SI","13327","INTERVENTION","2014-06-25","2014-06-25","0","57","1e+09","24","0","0","0","0","24","0","12","0","120","12","0","0","0","0","24","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","0","0","0","Point","8.22508333333333,18.7114333333333","18.7114333333333","8.22508333333333","2014-06","2014","Yadé","Ouham","Kabo","Sido","NFI"
"Feature","265721479","Bambari","ACTED","13327","INTERVENTION","2014-06-14","2014-06-15","0","0","1e+09","438","0","0","0","0","438","0","0","0","3480","0","0","0","0","0","219","219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","0","0","0","Point","5.75466666666667,20.6785861111111","20.6785861111111","5.75466666666667","2014-06","2014","Kagas","Ouaka","Bambari","Bambari","NFI"
"Feature","407345956","Demba Batéké","PU-AMI","13327","INTERVENTION","2014-08-01","2014-08-01","0","0","1e+09","520","0","0","0","260","520","0","260","0","3900","0","0","0","0","0","520","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","260","320","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","0","0","0","Point","4.98116388888889,16.272125","16.272125","4.98116388888889","2014-08","2014","Equateur","Mambéré-Kadéï","Gadzi","Topia","NFI"
"Feature","440565508","Ngakobo","ACTED","13327","INTERVENTION","2015-03-25","2015-03-25","0","0","1e+09","0","0","0","0","0","0","0","490","0","0","0","0","0","0","0","0","490","0","0","0","0","0","0","490","0","0","490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","1","1","0","Point","5.339652,20.730846","20.730846","5.339652","2015-03","2015","Kagas","Ouaka","Bambari","Ngougbia","NFI"
"Feature","558289820","Kabo","SI","13327","INTERVENTION","2014-06-25","2014-06-25","0","507","1e+09","170","0","0","0","0","170","0","85","0","850","85","0","0","0","0","170","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","0","0","0","Point","7.69125833333333,18.6276638888889","18.6276638888889","7.69125833333333","2014-06","2014","Yadé","Ouham","Kabo","Sido","NFI"
"Feature","632841366","Kabo","SI","13327","INTERVENTION","2014-04-25","2014-04-30","1008","1008","1e+09","650","0","0","0","325","650","0","325","0","3250","650","0","0","0","0","650","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","325","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","Point","7.697565,18.629944","18.629944","7.697565","2014-04","2014","Yadé","Ouham","Kabo","Sido",""
"Feature","801479719","Kaga-Bandoro","SI","13327","INTERVENTION","2015-01-29","2015-01-30","0","2625","1e+09","1050","0","0","1050","0","1050","3150","525","0","3150","1050","0","0","0","0","525","525","0","525","0","1050","0","0","525","0","0","525","0","0","1050","0","525","525","0","0","0","525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI","0","0","0","Point","6.990379,19.191543","19.191543","6.990379","2015-01","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Kaga-Bandoro","NFI"
